x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+12.122500E+00,-126.759E-03,+3.827889E+00,+11.809E-03,+100.829E-03
+12.125000E+00,-76.508E-03,+3.765075E+00,-68.593E-03,-250.930E-03
+12.127500E+00,-76.508E-03,+3.652010E+00,-58.543E-03,+151.080E-03
+12.130000E+00,-91.583E-03,+3.827889E+00,-53.517E-03,-288.618E-03
+12.132500E+00,-46.357E-03,+3.714824E+00,-33.417E-03,+151.080E-03
+12.135000E+00,-76.508E-03,+3.702261E+00,-68.593E-03,-389.121E-03
+12.137500E+00,-71.483E-03,+3.626884E+00,+11.809E-03,+151.080E-03
+12.140000E+00,-156.910E-03,+3.827889E+00,+11.809E-03,-288.618E-03
+12.142500E+00,-61.432E-03,+3.714824E+00,-68.593E-03,+151.080E-03
+12.145000E+00,-76.508E-03,+3.827889E+00,-118.844E-03,-250.930E-03
+12.147500E+00,-76.508E-03,+3.815327E+00,-58.543E-03,+151.080E-03
+12.150000E+00,-76.508E-03,+3.827889E+00,-68.593E-03,-451.935E-03
+12.152500E+00,-76.508E-03,+3.827889E+00,-68.593E-03,+226.457E-03
+12.155000E+00,-76.508E-03,+3.827889E+00,+11.809E-03,-389.121E-03
+12.157500E+00,+3.894E-03,+3.827889E+00,+6.784E-03,+326.960E-03
+12.160000E+00,-66.457E-03,+3.827889E+00,-68.593E-03,-250.930E-03
+12.162500E+00,-46.357E-03,+3.953518E+00,-68.593E-03,+151.080E-03
+12.165000E+00,-26.256E-03,+3.827889E+00,-43.467E-03,-250.930E-03
+12.167500E+00,-141.834E-03,+3.815327E+00,-68.593E-03,+125.955E-03
+12.170000E+00,-146.859E-03,+3.802764E+00,-53.517E-03,-288.618E-03
+12.172500E+00,-31.282E-03,+3.752513E+00,-33.417E-03,+151.080E-03
+12.175000E+00,-106.658E-03,+3.827889E+00,-38.442E-03,-389.121E-03
+12.177500E+00,-76.508E-03,+3.827889E+00,+11.809E-03,+301.834E-03
+12.180000E+00,+3.894E-03,+3.802764E+00,-53.517E-03,-250.930E-03
+12.182500E+00,-126.759E-03,+3.626884E+00,+11.809E-03,+264.146E-03
+12.185000E+00,-76.508E-03,+3.827889E+00,+2.825880E+00,-389.121E-03
+12.187500E+00,-76.508E-03,+4.016332E+00,+2.835930E+00,+151.080E-03
+12.190000E+00,-146.859E-03,+3.827889E+00,+2.896231E+00,-250.930E-03
+12.192500E+00,-31.282E-03,+3.752513E+00,+2.906282E+00,+151.080E-03
+12.195000E+00,-131.784E-03,+3.827889E+00,+2.906282E+00,-389.121E-03
