x-axis,1,2,3
second,Volt,Volt,Volt
+15.6937500E+00,+2.8380652E+00,+8.7939E-03,-123.8692E-03
+15.6940000E+00,+2.8380652E+00,-41.4574E-03,-123.8692E-03
+15.6942500E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.6945000E+00,+2.8732410E+00,+71.6080E-03,-43.4672E-03
+15.6947500E+00,+2.8179647E+00,+8.7939E-03,-43.4672E-03
+15.6950000E+00,+2.8732410E+00,+8.7939E-03,-123.8692E-03
+15.6952500E+00,+2.8380652E+00,+8.7939E-03,-103.7687E-03
+15.6955000E+00,+2.8983667E+00,-192.2111E-03,-8.2913E-03
+15.6957500E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.6960000E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.6962500E+00,+2.8983667E+00,+8.7939E-03,-8.2913E-03
+15.6965000E+00,+2.8179647E+00,+8.7939E-03,+11.8092E-03
+15.6967500E+00,+2.8380652E+00,-129.3971E-03,-88.6933E-03
+15.6970000E+00,+2.8179647E+00,+8.7939E-03,-43.4672E-03
+15.6972500E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.6975000E+00,+2.8732410E+00,+8.7939E-03,-28.3918E-03
+15.6977500E+00,+2.8179647E+00,+8.7939E-03,-8.2913E-03
+15.6980000E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.6982500E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.6985000E+00,+2.8732410E+00,+71.6080E-03,-43.4672E-03
+15.6987500E+00,+2.8179647E+00,+8.7939E-03,+11.8092E-03
+15.6990000E+00,+2.9536430E+00,-129.3971E-03,-8.2913E-03
+15.6992500E+00,+2.8179647E+00,-129.3971E-03,-68.5928E-03
+15.6995000E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.6997500E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7000000E+00,+2.8732410E+00,+8.7939E-03,+11.8092E-03
+15.7002500E+00,+2.8179647E+00,-41.4574E-03,-43.4672E-03
+15.7005000E+00,+2.8732410E+00,+8.7939E-03,-28.3918E-03
+15.7007500E+00,+2.8983667E+00,+71.6080E-03,-8.2913E-03
+15.7010000E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7012500E+00,+2.8732410E+00,-129.3971E-03,-8.2913E-03
+15.7015000E+00,+2.8179647E+00,+8.7939E-03,-8.2913E-03
+15.7017500E+00,+2.8179647E+00,+8.7939E-03,-8.2913E-03
+15.7020000E+00,+2.8983667E+00,+8.7939E-03,-43.4672E-03
+15.7022500E+00,+2.8732410E+00,+71.6080E-03,+11.8092E-03
+15.7025000E+00,+2.8581657E+00,+159.5477E-03,+11.8092E-03
+15.7027500E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.7030000E+00,+2.8983667E+00,-129.3971E-03,-68.5928E-03
+15.7032500E+00,+2.8380652E+00,+8.7939E-03,-8.2913E-03
+15.7035000E+00,+2.8732410E+00,+8.7939E-03,-43.4672E-03
+15.7037500E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.7040000E+00,+2.8732410E+00,+159.5477E-03,-43.4672E-03
+15.7042500E+00,+2.8179647E+00,-129.3971E-03,-123.8692E-03
+15.7045000E+00,+2.8179647E+00,+8.7939E-03,-43.4672E-03
+15.7047500E+00,+2.8179647E+00,-41.4574E-03,-8.2913E-03
+15.7050000E+00,+2.8380652E+00,+8.7939E-03,+11.8092E-03
+15.7052500E+00,+2.8380652E+00,-79.1458E-03,-8.2913E-03
+15.7055000E+00,+2.8732410E+00,+8.7939E-03,-28.3918E-03
+15.7057500E+00,+2.8732410E+00,-129.3971E-03,-68.5928E-03
+15.7060000E+00,+2.8732410E+00,+8.7939E-03,+11.8092E-03
+15.7062500E+00,+2.8179647E+00,+8.7939E-03,-8.2913E-03
+15.7065000E+00,+2.8380652E+00,+8.7939E-03,-28.3918E-03
+15.7067500E+00,+2.8179647E+00,-41.4574E-03,-68.5928E-03
+15.7070000E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7072500E+00,+2.8983667E+00,-41.4574E-03,-68.5928E-03
+15.7075000E+00,+2.8380652E+00,-129.3971E-03,-68.5928E-03
+15.7077500E+00,+2.8732410E+00,+159.5477E-03,-43.4672E-03
+15.7080000E+00,+2.8983667E+00,-129.3971E-03,-68.5928E-03
+15.7082500E+00,+2.8983667E+00,+109.2964E-03,-43.4672E-03
+15.7085000E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.7087500E+00,+2.8983667E+00,+8.7939E-03,-43.4672E-03
+15.7090000E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7092500E+00,+2.8380652E+00,-41.4574E-03,-43.4672E-03
+15.7095000E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7097500E+00,+2.8179647E+00,+8.7939E-03,-8.2913E-03
+15.7100000E+00,+2.8179647E+00,+8.7939E-03,-43.4672E-03
+15.7102500E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7105000E+00,+2.8179647E+00,-129.3971E-03,-8.2913E-03
+15.7107500E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7110000E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7112500E+00,+2.8983667E+00,+8.7939E-03,-8.2913E-03
+15.7115000E+00,+2.8179647E+00,+71.6080E-03,-68.5928E-03
+15.7117500E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7120000E+00,+2.8732410E+00,-41.4574E-03,-8.2913E-03
+15.7122500E+00,+2.8732410E+00,-41.4574E-03,-43.4672E-03
+15.7125000E+00,+2.8179647E+00,+8.7939E-03,-43.4672E-03
+15.7127500E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7130000E+00,+2.8983667E+00,+71.6080E-03,-43.4672E-03
+15.7132500E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7135000E+00,+2.8380652E+00,+8.7939E-03,-123.8692E-03
+15.7137500E+00,+2.8983667E+00,+8.7939E-03,-43.4672E-03
+15.7140000E+00,+2.8983667E+00,+8.7939E-03,-68.5928E-03
+15.7142500E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.7145000E+00,+2.8179647E+00,+71.6080E-03,-8.2913E-03
+15.7147500E+00,+2.8179647E+00,+8.7939E-03,-68.5928E-03
+15.7150000E+00,+2.9184672E+00,+8.7939E-03,-68.5928E-03
+15.7152500E+00,+2.8983667E+00,-41.4574E-03,-123.8692E-03
+15.7155000E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.7157500E+00,+2.8380652E+00,+109.2964E-03,+11.8092E-03
+15.7160000E+00,+2.8983667E+00,-41.4574E-03,-103.7687E-03
+15.7162500E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7165000E+00,+2.8983667E+00,+71.6080E-03,-28.3918E-03
+15.7167500E+00,+2.8983667E+00,-192.2111E-03,-68.5928E-03
+15.7170000E+00,+2.8983667E+00,-41.4574E-03,-68.5928E-03
+15.7172500E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.7175000E+00,+2.8983667E+00,-41.4574E-03,-43.4672E-03
+15.7177500E+00,+2.8732410E+00,+8.7939E-03,-8.2913E-03
+15.7180000E+00,+2.8179647E+00,+8.7939E-03,-43.4672E-03
+15.7182500E+00,+2.8380652E+00,+8.7939E-03,-68.5928E-03
+15.7185000E+00,+2.8380652E+00,+8.7939E-03,+11.8092E-03
+15.7187500E+00,+2.8983667E+00,+8.7939E-03,+11.8092E-03
+15.7190000E+00,+2.8983667E+00,-129.3971E-03,-43.4672E-03
+15.7192500E+00,+2.9184672E+00,+8.7939E-03,-8.2913E-03
+15.7195000E+00,+2.8983667E+00,+8.7939E-03,+72.1107E-03
+15.7197500E+00,+2.8732410E+00,-129.3971E-03,-8.2913E-03
+15.7200000E+00,+2.8732410E+00,+8.7939E-03,-8.2913E-03
+15.7202500E+00,+2.8732410E+00,+8.7939E-03,-68.5928E-03
+15.7205000E+00,+2.8380652E+00,-41.4574E-03,-68.5928E-03
+15.7207500E+00,+2.8983667E+00,+71.6080E-03,-68.5928E-03
+15.7210000E+00,+2.9335425E+00,-41.4574E-03,-68.5928E-03
+15.7212500E+00,+2.8732410E+00,+8.7939E-03,-8.2913E-03
+15.7215000E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
+15.7217500E+00,+2.8983667E+00,+8.7939E-03,-43.4672E-03
+15.7220000E+00,+2.8380652E+00,+8.7939E-03,-43.4672E-03
